FIPS,State,County,Year,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Children in Poverty
6043,California,Mariposa,2016,13,3.6,3.7,6.102362205,25
6045,California,Mendocino,2016,17.4,4.2,4.2,5.868605557,26.2
6047,California,Merced,2016,22.9,4.7,4.1,6.630142379,35.9
6049,California,Modoc,2016,16.4,4.2,4.2,6.885758998,31.3
6051,California,Mono,2016,13.9,3.6,3.6,7.943925234,16.2
6053,California,Monterey,2016,19.9,4.1,3.8,5.72920934,25.2
6055,California,Napa,2016,14.2,3.5,3.4,6.100674813,12
6057,California,Nevada,2016,11.5,3.4,3.5,5.711263882,17.6
6059,California,Orange,2016,12.6,3.4,3.3,6.452573495,17.9
6061,California,Placer,2016,10.9,3.3,3.5,5.749563018,9.7
6063,California,Plumas,2016,13.9,3.8,3.9,6.148590948,21.6
6065,California,Riverside,2016,18.1,4.2,4,6.546531295,23.5
6067,California,Sacramento,2016,15.9,3.9,3.8,6.778178867,23.8
6069,California,San Benito,2016,17.6,3.9,3.6,6.359770752,19.8
6071,California,San Bernardino,2016,20.6,4.3,3.8,7.175817353,28.2
6073,California,San Diego,2016,14.3,3.4,3.6,6.568164258,18.9
6075,California,San Francisco,2016,11.2,3.2,3.1,7.089182362,13.6
6077,California,San Joaquin,2016,18.5,4,3.8,7.003713071,27.5
6079,California,San Luis Obispo,2016,13.1,3.5,3.6,5.872982158,15.6
6081,California,San Mateo,2016,11.6,3,3,6.698893971,9.8
6083,California,Santa Barbara,2016,16.8,3.9,3.6,6.022156538,22.6
6085,California,Santa Clara,2016,11.4,3,2.9,6.850240827,9.3
6087,California,Santa Cruz,2016,14.3,3.7,3.7,5.816250384,19.1
6089,California,Shasta,2016,14.5,3.9,4,6.137111395,20.3
6091,California,Sierra,2016,13.1,3.7,3.8,6.451612903,19
6093,California,Siskiyou,2016,16.5,4.2,4.1,7.459981879,30.3
6095,California,Solano,2016,15.5,3.5,3.6,6.922294766,16.5
6097,California,Sonoma,2016,13.3,3.4,3.6,5.708775823,13.6
6099,California,Stanislaus,2016,20.2,4.3,4.1,6.304118834,23.8
6101,California,Sutter,2016,16.7,3.9,3.8,5.806585645,20.8
